Category,def
electroporation,
electrokinetics,
transport phenomena,something serves means transportation exchange molecules and kinetic energy momentum commercial enterprise moving goods materials state carried away overwhelming emotion mechanism transports magnetic tape across read write heads tape playback recorder act moving something one location another move something somebody around usually long distances move supporting either vehicle ones hands ones body hold spellbound transport commercially send one person place another state process known senses rather intuition reasoning remarkable development
multi agent systems,active efficient cause capable producing certain effect representative acts behalf persons organizations substance exerts force effect businessman buys sells another exchange commission agent representative federal agency bureau semantic role animate entity instigates causes happening denoted verb clause instrumentality combines interrelated interacting artifacts designed work coherent entity group independent interrelated elements comprising unified whole physical chemistry complex methods rules governing behavior organized structure arranging classifying group physiologically anatomically related organs parts procedure process obtaining objective living body considered made interdependent components forming unified whole ordered manner orderliness virtue methodical well organized
network science,interconnected system things people broadcasting open fabric string rope wire woven together regular intervals system intersecting lines channels electronics communicate within group particular branch scientific knowledge ability produce solutions problem domain
control theory,power direct determine relation constraint one entity thing person group physiology standard conditions compared scientific experiment activity managing exerting control something state exists one person group power another discipline personal social activities great skillfulness knowledge subject activity mechanism controls operation machine spiritual agency assumed assist medium seance economic policy controlling limiting curbing prices wages etc exercise authoritative control power lessen intensity of temper hold restraint hold keep within limits handle cause function maintain influence others oneself check regulate a scientific experiment place restrictions limit access law verify using duplicate register comparison careful certain something make certain something firm understanding knowledge of top wellsubstantiated explanation aspect natural world organized system accepted knowledge applies variety circumstances explain specific set phenomena tentative insight natural world concept yet verified true would explain certain facts phenomena belief guide behavior
software maintenance,computer science activity involved maintaining something good working order means maintenance family group courtordered support paid one spouse another separated act sustaining life food providing means subsistence unauthorized interference legal action person interest as helping one party money otherwise continue action
web applications,intricate network suggesting something formed weaving interweaving intricate trap entangles ensnares victim flattened weblike part feather consisting series barbs either side shaft interconnected system things people computer network consisting collection internet sites offer text graphics sound animation resources hypertext transfer protocol fabric especially fabric process woven membrane connecting toes aquatic birds mammals construct form web weaving act bringing something bear using particular purpose verbal written request assistance employment admission school work applying something program gives computer instructions provide user tools accomplish task liquid preparation soothing antiseptic medicinal action applied skin diligent effort action putting something operation
bgp,
dnssec,
internet,computer network consisting worldwide network computer networks use TCP IP network protocols facilitate data transmission exchange
edge computing,boundary surface line determining limits area sharp side formed intersection two surfaces object attribute urgency tone voice slight competitive advantage outside limit object area surface place farthest away center something advance slowly inches provide border edge lie adjacent another share boundary provide edge branch engineering science studies with aid computers procedure calculating determining something mathematical logical methods make mathematical calculation computation
ai machine learning,agency United States Army responsible providing timely relevant accurate synchronized intelligence tactical operational strategic level commanders branch computer science deal writing computer programs solve problems creatively sloth three long claws forefoot hindfoot introduction semen oviduct uterus means sexual intercourse mechanical electrical device transmits modifies energy perform assist performance human tasks efficient person intricate organization accomplishes goals efficiently device overcoming resistance one point applying force point group controls activities political party motor vehicle four wheels usually propelled internal combustion engine turn shape mold otherwise finish machinery make machinery cognitive process acquiring skill knowledge profound scholarly knowledge gain knowledge skills get know become aware of usually accidentally commit memory learn heart student certain subject impart skills knowledge find out learn determine certainty usually making inquiry effort
adaptive signal processing,capacity adaptation nonverbal action gesture encodes message incitement action electric quantity voltage current field strength communicate silently nonverbally signals signs signal symptom notably ordinary preparing putting prescribed procedure subject process treatment aim readying purpose improving remedying condition deal routine way perform mathematical logical operations data institute legal proceedings against file suit march procession shape form improve material deliver warrant summons someone
digital signal processing,displaying numbers rather scale positions relating performed fingers circuit device represents magnitudes digits nonverbal action gesture encodes message incitement action electric quantity voltage current field strength communicate silently nonverbally signals signs signal symptom notably ordinary preparing putting prescribed procedure subject process treatment aim readying purpose improving remedying condition deal routine way perform mathematical logical operations data institute legal proceedings against file suit march procession shape form improve material deliver warrant summons someone
computer networks architectures,machine performing calculations automatically expert calculation or operating calculating machines interconnected system things people broadcasting open fabric string rope wire woven together regular intervals system intersecting lines channels electronics communicate within group architectural product work discipline dealing principles design construction ornamentation fine buildings profession designing buildings environments consideration esthetic effect computer science
wireless optical communications,medium communication transmission radio waves electronic receiver detects demodulates amplifies transmitted signals communication system based broadcasting electromagnetic waves wires relating involving light optics relating using sight relating resembling eye optical activity communicating activity conveying information something communicated people groups connection allowing access persons places discipline studies principles transmiting information methods delivered as print radio television etc
human ai collaboration,living extinct member family Hominidae characterized superior intelligence articulate speech erect carriage characteristic humanity relating person human form attributes opposed animals divine beings agency United States Army responsible providing timely relevant accurate synchronized intelligence tactical operational strategic level commanders branch computer science deal writing computer programs solve problems creatively sloth three long claws forefoot hindfoot introduction semen oviduct uterus means sexual intercourse act working jointly act cooperating traitorously enemy occupying country
semantic computing,relating meaning study meaning branch engineering science studies with aid computers procedure calculating determining something mathematical logical methods make mathematical calculation computation
social computing,party people assembled promote sociability communal activity relating human society members living together enjoying life communities organized groups relating belonging characteristic high society composed sociable people formed purpose sociability tending move live together groups colonies kind marked friendly companionship others branch engineering science studies with aid computers procedure calculating determining something mathematical logical methods make mathematical calculation computation
web intelligence,intricate network suggesting something formed weaving interweaving intricate trap entangles ensnares victim flattened weblike part feather consisting series barbs either side shaft interconnected system things people computer network consisting collection internet sites offer text graphics sound animation resources hypertext transfer protocol fabric especially fabric process woven membrane connecting toes aquatic birds mammals construct form web weaving ability comprehend understand profit experience unit responsible gathering interpreting information enemy secret information enemy or potential enemy information recent important events operation gathering information enemy
crisis informatics,unstable situation extreme danger difficulty crucial stage turning point course something sciences concerned gathering manipulating storing retrieving classifying recorded information
neuroprosthesis,
functional electrical stimulation,designed capable particular function use involving affecting function rather physiology relating based function especially opposed structure fit ready use service designed adapted function use of eg machine working relating concerned electricity using providing producing transmitting operated electricity act arousing organism action stimulating information event acts arouse action physiology nerves organs etc mutual sexual fondling prior sexual intercourse
deep brain stimulation,central intense profound part long steepsided depression ocean floor literary term ocean relatively deep strong affecting one deeply marked depth thinking great spatial extension penetration downward inward outer surface backward laterally outward center sometimes used combination distant time space intense extreme denoting low vocal instrumental range strong intense relatively thick top bottom extending relatively far inward of darkness large quantity size head back bent low obscure nature difficult penetrate incomprehensible one ordinary understanding knowledge exhibiting great cunning usually secrecy great depth far advanced time great distance part central nervous system includes higher nervous centers enclosed within skull continuous spinal cord mental ability responsible ones thoughts feelings conscious brain functions seat faculty reason someone exceptional intellectual ability originality brain certain animals used meat hit head kill smashing someones skull act arousing organism action stimulating information event acts arouse action physiology nerves organs etc mutual sexual fondling prior sexual intercourse
neural engineering,relating nervous system relating neurons practical application technical scientific knowledge commerce industry discipline dealing art science applying scientific knowledge practical problems room as ship design engineer plan direct a complex undertaking
icns,
dtns,
icdtns,
unsupervised learning,supervised constant observation cognitive process acquiring skill knowledge profound scholarly knowledge gain knowledge skills get know become aware of usually accidentally commit memory learn heart student certain subject impart skills knowledge find out learn determine certainty usually making inquiry effort
network modeling,interconnected system things people broadcasting open fabric string rope wire woven together regular intervals system intersecting lines channels electronics communicate within group sculpture produced molding preliminary sculpture wax clay finished work copied act representing something usually smaller scale plan create according model models form clay wax etc assume posture artistic purposes display clothes create representation model construct model
high dimensional statistics,lofty level position degree air mass higher normal pressure state sustained elation state altered consciousness induced alcohol narcotics high place public secondary school usually including grades 9 12 forward gear gear ratio gives greatest vehicle velocity given engine speed greater normal degree intensity amount literal meaning sometimes used combinations like kneehigh standing others quality position used sounds voices high pitch frequency happy excited energetic used smell meat slightly pleasantly intoxicated alcohol drug especially marijuana great altitude high position amount degree rich manner far toward source relating dimensions dimensionthe quality character stature proper person datum represented numerically branch applied mathematics concerned collection interpretation quantitative data use probability theory estimate population parameters
spatio temporal models,semantic role noun phrase designates time state action denoted verb eternal relating limited time relating temples the sides skull behind orbit characteristic devoted temporal world opposed spiritual world earth world hypothetical description complex entity process type product person poses photographer painter sculptor representation something sometimes smaller scale something imitated someone worthy imitation representative form pattern woman wears clothes display fashions act representing something usually smaller scale plan create according model models form clay wax etc assume posture artistic purposes display clothes create representation model construct model
random forest,lacking definite plan order purpose governed depending chance trees plants large densely wooded area land covered trees shrubs establish forest previously unforested land
network security,interconnected system things people broadcasting open fabric string rope wire woven together regular intervals system intersecting lines channels electronics communicate within group state free danger injury defense financial failure financial independence freedom anxiety fear formal declaration documents fact relevance finance investment holder right receive interest dividends property creditor claim case default obligation department responsible security institutions property workers guarantee obligation met electrical device sets alarm someone tries break measures taken precaution theft espionage sabotage etc
wireless networks,medium communication transmission radio waves electronic receiver detects demodulates amplifies transmitted signals communication system based broadcasting electromagnetic waves wires interconnected system things people broadcasting open fabric string rope wire woven together regular intervals system intersecting lines channels electronics communicate within group
ai ml wireless,agency United States Army responsible providing timely relevant accurate synchronized intelligence tactical operational strategic level commanders branch computer science deal writing computer programs solve problems creatively sloth three long claws forefoot hindfoot introduction semen oviduct uterus means sexual intercourse metric unit volume equal one thousandth liter medium communication transmission radio waves electronic receiver detects demodulates amplifies transmitted signals communication system based broadcasting electromagnetic waves wires
wireless security,medium communication transmission radio waves electronic receiver detects demodulates amplifies transmitted signals communication system based broadcasting electromagnetic waves wires state free danger injury defense financial failure financial independence freedom anxiety fear formal declaration documents fact relevance finance investment holder right receive interest dividends property creditor claim case default obligation department responsible security institutions property workers guarantee obligation met electrical device sets alarm someone tries break measures taken precaution theft espionage sabotage etc
o ran,nonmetallic bivalent element normally colorless odorless tasteless nonflammable diatomic gas constitutes 21 percent atmosphere volume abundant element earths crust 15th letter Roman alphabet blood group whose red cells carry neither A B antigens move fast using ones feet one foot ground given time flee take ones heels cut run stretch distance space time scope run extend two points beyond certain point direct control projects businesses etc particular form move along liquids perform expected applied change different within limits run stand compete office position cause emit recorded audio video move freely without restraint act running around uncontrolled way tendency disposition something inclined operating running functioning change one state another cause perform affected by subjected continue exist occur persistently carry process program computer machine include content broadcast publicize carry pass over across cause something pass lead somewhere make without miss deal illegally arms liquor cause animal move fast diffused sail wind cover running run certain distance extend continue certain period time set animals loose graze keep company run ball sports football travel rapidly unspecified travel route regularly pursue food sport as wild animals compete race progress changed reduce cause reduced solid liquid state usually heating come unraveled undone snagging become undone
5g next g,immediately following time order nearest space position immediately adjoining without intervening space of elected officers of day week nearest one time occasion immediately following metric unit weight equal one thousandth kilogram purine base found DNA RNA pairs cytosine one four nucleotides used building DNA four nucleotides common phosphate group sugar ribose cardinal number product 10 100 unit force equal force exerted gravity used indicate force body subjected accelerated unit information equal 1000 megabytes 109 1000000000 unit information equal 1024 mebibytes 230 1073741824 physics 7th letter Roman alphabet
spectrum sharing,ordered array components emission wave broad range related objects values qualities ideas activities using enjoying something jointly others common sharing thoughts feelings distribution shares common use jointly common have give receive share give ones portion share communicate unselfishly willing share others
image processing,iconic mental representation Jungian psychology visual representation of object scene person abstraction standard typical example language used figurative nonliteral sense someone closely resembles famous person especially actor mathematics general impression something a person organization product representation person especially form sculpture render visible means MRI imagine conceive of see ones mind preparing putting prescribed procedure subject process treatment aim readying purpose improving remedying condition deal routine way perform mathematical logical operations data institute legal proceedings against file suit march procession shape form improve material deliver warrant summons someone
medical image analysis,thorough physical examination includes variety tests depending age sex health person relating study practice medicine requiring amenable treatment medicine especially opposed surgery belonging Aesculapius healing art iconic mental representation Jungian psychology visual representation of object scene person abstraction standard typical example language used figurative nonliteral sense someone closely resembles famous person especially actor mathematics general impression something a person organization product representation person especially form sculpture render visible means MRI imagine conceive of see ones mind investigation component parts whole relations making whole abstract separation whole constituent parts order study parts relations form literary criticism structure piece writing analyzed use closedclass words instead inflections eg the father bride instead the brides father branch mathematics involving calculus theory limits sequences series integration differentiation set techniques exploring underlying motives method treating various mental disorders based theories Sigmund Freud
biophysics,physics applied biological problems
cooperative control,jointly owned commercial enterprise usually organized farmers consumers association formed operated benefit using involving joint activity two done working others common purpose benefit willing adjust differences order obtain agreement power direct determine relation constraint one entity thing person group physiology standard conditions compared scientific experiment activity managing exerting control something state exists one person group power another discipline personal social activities great skillfulness knowledge subject activity mechanism controls operation machine spiritual agency assumed assist medium seance economic policy controlling limiting curbing prices wages etc exercise authoritative control power lessen intensity of temper hold restraint hold keep within limits handle cause function maintain influence others oneself check regulate a scientific experiment place restrictions limit access law verify using duplicate register comparison careful certain something make certain something firm understanding knowledge of top
animal group behavior,living organism characterized voluntary movement marked appetites passions body number entities members chemistry set closed associative identity element every element inverse arrange group groups form group group together manner acting controlling action reaction something as machine substance behavioral attributes psychology
multi robot systems,mechanism move automatically instrumentality combines interrelated interacting artifacts designed work coherent entity group independent interrelated elements comprising unified whole physical chemistry complex methods rules governing behavior organized structure arranging classifying group physiologically anatomically related organs parts procedure process obtaining objective living body considered made interdependent components forming unified whole ordered manner orderliness virtue methodical well organized
game theory,contest rules determine winner single play sport contest amusement pastime animal hunted food sport tennis games flesh wild animals used food secret scheme something especially something underhand illegal game equipment needed order play particular game occupation line work frivolous trifling behavior place bet disabled feet legs willing face danger wellsubstantiated explanation aspect natural world organized system accepted knowledge applies variety circumstances explain specific set phenomena tentative insight natural world concept yet verified true would explain certain facts phenomena belief guide behavior
medicine,branches medical science deal nonsurgical techniques medicine learned profession mastered graduate training medical school devoted preventing alleviating curing diseases injuries punishment ones actions treat medicinally treat medicine
ultrasound,high frequency sound used ultrasonography using reflections highfrequency sound waves construct image body organ a sonogram
rehabilitation engineering,restoration someone useful place society conversion wasteland land suitable use habitation cultivation vindication persons character reestablishment persons reputation treatment physical disabilities massage electrotherapy exercises practical application technical scientific knowledge commerce industry discipline dealing art science applying scientific knowledge practical problems room as ship design engineer plan direct a complex undertaking
biology,science studies living organisms characteristic life processes phenomena living organisms plant animal life particular region
engineering,practical application technical scientific knowledge commerce industry discipline dealing art science applying scientific knowledge practical problems room as ship design engineer plan direct a complex undertaking
musculoskeletal modeling,relating muscles skeleton sculpture produced molding preliminary sculpture wax clay finished work copied act representing something usually smaller scale plan create according model models form clay wax etc assume posture artistic purposes display clothes create representation model construct model
sensorimotor integration,relating sensory motor coordination organism controlling nerves action incorporating racial religious group community act combining integral whole operation used calculus whereby integral function determined
assistive technology,giving assistance application knowledge usage tools such machines utensils discipline dealing art science applying scientific knowledge practical problems machinery equipment developed engineering applied sciences
biomedical imaging,relating activities applications science clinical medicine ability form mental images things events medicine render visible means MRI imagine conceive of see ones mind
neuroprosthetics,
cs education,degree centigrade scale temperature speed light travels vacuum constancy universality speed light recognized defining exactly 299792458 meters per second vitamin found fresh fruits especially citrus fruits one four nucleotides used building DNA four nucleotides common phosphate group sugar ribose base found DNA RNA derived pyrimidine pairs guanine abundant nonmetallic tetravalent element occurring three allotropic forms amorphous carbon graphite diamond occurs organic compounds ten 10s unit electrical charge equal amount charge transferred current 1 ampere 1 second generalpurpose programing language closely associated UNIX operating system music 3rd letter Roman alphabet street names cocaine soft silverwhite ductile metallic element liquid normal temperatures activities educating instructing activities impart knowledge skill knowledge acquired learning instruction gradual process acquiring knowledge profession teaching especially school college university result good upbringing especially knowledge correct social behavior United States federal department administers federal programs dealing education including federal aid educational institutions students
type theory,subdivision particular kind thing person specified kind usually many eccentricities biology printed characters tokens symbol small metal block bearing raised character one end produces printed character inked pressed paper write means keyboard types identify belonging certain type wellsubstantiated explanation aspect natural world organized system accepted knowledge applies variety circumstances explain specific set phenomena tentative insight natural world concept yet verified true would explain certain facts phenomena belief guide behavior
transportation systems,facility consisting means equipment necessary movement passengers goods act moving something one location another sum charged riding public conveyance United States federal department institutes coordinates national transportation programs created 1966 commercial enterprise moving goods materials act expelling person native land instrumentality combines interrelated interacting artifacts designed work coherent entity group independent interrelated elements comprising unified whole physical chemistry complex methods rules governing behavior organized structure arranging classifying group physiologically anatomically related organs parts procedure process obtaining objective living body considered made interdependent components forming unified whole ordered manner orderliness virtue methodical well organized
bayesian optimization,relating statistical methods based Bayes theorem act rendering optimal
particle filtering,nontechnical usage body finite mass internal structure negligible dimensions function word used English form phrasal verbs remove passing filter pass run flow slowly drops unsteady stream
vlsi,
digital health d health,displaying numbers rather scale positions relating performed fingers circuit device represents magnitudes digits healthy state wellbeing free disease general condition body mind fatsoluble vitamin prevents rickets cardinal number product one hundred five 4th letter Roman alphabet denoting quantity consisting 500 items units healthy state wellbeing free disease general condition body mind
cyber physical systems,involving body distinguished mind spirit relating sciences dealing matter energy especially physics substance material existence perceptible senses according material things natural laws other peculiar living matter characterized energetic bodily activity impelled physical force especially resistance concerned material things instrumentality combines interrelated interacting artifacts designed work coherent entity group independent interrelated elements comprising unified whole physical chemistry complex methods rules governing behavior organized structure arranging classifying group physiologically anatomically related organs parts procedure process obtaining objective living body considered made interdependent components forming unified whole ordered manner orderliness virtue methodical well organized
gpu computing,branch engineering science studies with aid computers procedure calculating determining something mathematical logical methods make mathematical calculation computation
systems network security,instrumentality combines interrelated interacting artifacts designed work coherent entity group independent interrelated elements comprising unified whole physical chemistry complex methods rules governing behavior organized structure arranging classifying group physiologically anatomically related organs parts procedure process obtaining objective living body considered made interdependent components forming unified whole ordered manner orderliness virtue methodical well organized interconnected system things people broadcasting open fabric string rope wire woven together regular intervals system intersecting lines channels electronics communicate within group state free danger injury defense financial failure financial independence freedom anxiety fear formal declaration documents fact relevance finance investment holder right receive interest dividends property creditor claim case default obligation department responsible security institutions property workers guarantee obligation met electrical device sets alarm someone tries break measures taken precaution theft espionage sabotage etc
cognitive assistants,relating involving cognition person contributes fulfillment need furtherance effort purpose
knowledge acquisition,psychological result perception learning reasoning act contracting assuming acquiring possession something something acquired cognitive process acquiring skill knowledge ability acquired training
science evidence,particular branch scientific knowledge ability produce solutions problem domain basis belief disbelief knowledge base belief indication makes something evident provide evidence for stand proof of show ones behavior attitude external attributes provide evidence give evidence
predictive analytics,relating prediction value making predictions
knowledge engineering,psychological result perception learning reasoning practical application technical scientific knowledge commerce industry discipline dealing art science applying scientific knowledge practical problems room as ship design engineer plan direct a complex undertaking
semantic web,relating meaning study meaning intricate network suggesting something formed weaving interweaving intricate trap entangles ensnares victim flattened weblike part feather consisting series barbs either side shaft interconnected system things people computer network consisting collection internet sites offer text graphics sound animation resources hypertext transfer protocol fabric especially fabric process woven membrane connecting toes aquatic birds mammals construct form web weaving
engineering design,practical application technical scientific knowledge commerce industry discipline dealing art science applying scientific knowledge practical problems room as ship design engineer plan direct a complex undertaking act working form something as making sketch outline plan arrangement scheme something intended guide making something else decorative artistic work anticipated outcome intended guides planned actions preliminary sketch indicating plan something creation something mind make work plan for devise plan something specific role purpose effect create design for create execute artistic highly skilled manner make design of plan systematic often graphic form create designs conceive fashion mind invent intend purpose
smart manufacturing,kind pain caused wound burn sore source pain showing mental alertness calculation resourcefulness elegant stylish characterized quickness ease learning improperly forward bold painfully severe quick brisk capable independent apparently intelligent action act making something a product put together artificial natural components parts concoct something artificial untrue produce naturally create produce mechanical way
obsolescence,process becoming obsolete falling disuse becoming date
knowledge information engineering,psychological result perception learning reasoning message received understood knowledge acquired study experience instruction formal accusation crime collection facts conclusions may drawn communication theory practical application technical scientific knowledge commerce industry discipline dealing art science applying scientific knowledge practical problems room as ship design engineer plan direct a complex undertaking
product families platforms,commodities offered sale artifact created someone process quantity obtained multiplication chemical substance formed result chemical reaction consequence someones efforts particular set circumstances set elements common two sets social unit living together primary social group parents children collection things sharing common attribute people descended common ancestor person kinship another others biology loose affiliation gangsters charge organized criminal activities association people share common beliefs activities raised horizontal surface document stating aims principles political party combination particular computer particular operating system military structure vehicle bearing weapons womans shoe high thick sole
geotechnical geoenvironmental,
usable security privacy,capable put use fit ready use service convenient use disposal state free danger injury defense financial failure financial independence freedom anxiety fear formal declaration documents fact relevance finance investment holder right receive interest dividends property creditor claim case default obligation department responsible security institutions property workers guarantee obligation met electrical device sets alarm someone tries break measures taken precaution theft espionage sabotage etc quality secluded presence view others condition concealed hidden
network systems security,interconnected system things people broadcasting open fabric string rope wire woven together regular intervals system intersecting lines channels electronics communicate within group instrumentality combines interrelated interacting artifacts designed work coherent entity group independent interrelated elements comprising unified whole physical chemistry complex methods rules governing behavior organized structure arranging classifying group physiologically anatomically related organs parts procedure process obtaining objective living body considered made interdependent components forming unified whole ordered manner orderliness virtue methodical well organized state free danger injury defense financial failure financial independence freedom anxiety fear formal declaration documents fact relevance finance investment holder right receive interest dividends property creditor claim case default obligation department responsible security institutions property workers guarantee obligation met electrical device sets alarm someone tries break measures taken precaution theft espionage sabotage etc
internet measurements,computer network consisting worldwide network computer networks use TCP IP network protocols facilitate data transmission exchange act process assigning numbers phenomena according rule
big data analytics  characterization,average size number quantity magnitude extent large significant intense bad loud firm conspicuous position importance prodigious exhibiting selfimportance feeling selfimportance of animals marked intense physical force generous understanding tolerant given giving freely advanced stage pregnancy extremely well boastful manner grand scale major way collection facts conclusions may drawn item factual information derived measurement research graphic vivid verbal description act describing distinctive characteristics essential features acting part character stage dramatically representing character speech action gesture
biochemistry,organic chemistry compounds processes occurring organisms effort understand biology within context chemistry
membrane biology,thin pliable sheet material pliable sheet tissue covers lines connects organs cells animals plants science studies living organisms characteristic life processes phenomena living organisms plant animal life particular region
molecular biology,relating produced consisting molecules relating simple elementary organization science studies living organisms characteristic life processes phenomena living organisms plant animal life particular region
dna nanotechnology,biochemistry branch engineering deals things smaller 100 nanometers especially manipulation individual molecules
transportation air quality,facility consisting means equipment necessary movement passengers goods act moving something one location another sum charged riding public conveyance United States federal department institutes coordinates national transportation programs created 1966 commercial enterprise moving goods materials act expelling person native land mixture gases especially oxygen region ground distinctive intangible quality surrounding person thing slight wind usually refreshing mass air surrounding Earth thought one four elements composing universe Empedocles succession notes forming distinctive sequence medium radio television broadcasting travel via aircraft expose fresh air broadcast broadcast airwaves radio television make public expose warm heated air dry expose cool cold air cool freshen essential distinguishing attribute something someone degree grade excellence worth characteristic property defines apparent individual nature something music voice noise musical sound high social status superior grade high social status
transportation engineering,facility consisting means equipment necessary movement passengers goods act moving something one location another sum charged riding public conveyance United States federal department institutes coordinates national transportation programs created 1966 commercial enterprise moving goods materials act expelling person native land practical application technical scientific knowledge commerce industry discipline dealing art science applying scientific knowledge practical problems room as ship design engineer plan direct a complex undertaking
transportation planning,facility consisting means equipment necessary movement passengers goods act moving something one location another sum charged riding public conveyance United States federal department institutes coordinates national transportation programs created 1966 commercial enterprise moving goods materials act expelling person native land act formulating program definite course action act process drawing plans layouts project enterprise cognitive process thinking event something happening intention carry action make plans something make work plan for devise make design of plan systematic often graphic form
dependent complex structured data ,person relies another person support especially financial support relying requiring person thing support supply needed contingent something else of clause dependent held hanging power sovereignty another others addicted drug conceptual whole made complicated related parts compound described terms central atom atoms bound coordinated psychoanalysis whole structure as building complicated structure consisting interconnected parts difficult analyze understand give structure definite highly organized structure resembling living organism organization development collection facts conclusions may drawn item factual information derived measurement research
high dimensional data,lofty level position degree air mass higher normal pressure state sustained elation state altered consciousness induced alcohol narcotics high place public secondary school usually including grades 9 12 forward gear gear ratio gives greatest vehicle velocity given engine speed greater normal degree intensity amount literal meaning sometimes used combinations like kneehigh standing others quality position used sounds voices high pitch frequency happy excited energetic used smell meat slightly pleasantly intoxicated alcohol drug especially marijuana great altitude high position amount degree rich manner far toward source relating dimensions dimensionthe quality character stature proper person collection facts conclusions may drawn item factual information derived measurement research
statistical machine learning,relating statistics mechanical electrical device transmits modifies energy perform assist performance human tasks efficient person intricate organization accomplishes goals efficiently device overcoming resistance one point applying force point group controls activities political party motor vehicle four wheels usually propelled internal combustion engine turn shape mold otherwise finish machinery make machinery cognitive process acquiring skill knowledge profound scholarly knowledge gain knowledge skills get know become aware of usually accidentally commit memory learn heart student certain subject impart skills knowledge find out learn determine certainty usually making inquiry effort
survey sampling,detailed critical inspection short descriptive summary of events act looking seeing observing consider comprehensive way look carefully inspect keep surveillance hold review of troops make survey of statistical purposes plot map land statistics items selected random population used test hypotheses population measurement regular intervals amplitude varying waveform in order convert digital form take sample
data driven control,collection facts conclusions may drawn item factual information derived measurement research operate control vehicle travel transported vehicle cause someone something move driving force action state either physically metaphorically compel force urge relentlessly exert coercive pressure on motivate strongly cause move back force influence compel somebody something often judgment push propel press force cause move rapidly striking throwing force strive make effort reach goal move desired direction discourse certain properties driven work driver move propelled force urge forward proceed along vehicle strike driver teeing hit hard swinging bat horizontally excavate horizontally cause function supplying force power controlling hunting hunting compelled forcibly outside agency urged forced action moral pressure strongly motivated succeed power direct determine relation constraint one entity thing person group physiology standard conditions compared scientific experiment activity managing exerting control something state exists one person group power another discipline personal social activities great skillfulness knowledge subject activity mechanism controls operation machine spiritual agency assumed assist medium seance economic policy controlling limiting curbing prices wages etc exercise authoritative control power lessen intensity of temper hold restraint hold keep within limits handle cause function maintain influence others oneself check regulate a scientific experiment place restrictions limit access law verify using duplicate register comparison careful certain something make certain something firm understanding knowledge of top
